individual_username,individual_subtype,hcc_id,shared_video_count,creator_video_count,hcc_account_count,hcc_comment_count,first_hcc_comment_timestamp,last_hcc_comment_timestamp,target_brand,hcc_goal_orientation,association_type
notforsheil,Video Creator,206,1,1,5,5,,,Maryame,Promotional / Supportive,Observed Creator-Community Context
notforsheil,Video Creator,50,1,1,6,6,2023-04-03 23:25:23+00:00,2023-04-03 23:28:31+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
notforsheil,Video Creator,63,1,1,1,1,2023-03-17 17:16:19+00:00,2023-03-17 17:16:19+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
notforsheil,Video Creator,75,1,1,4,4,2023-03-16 13:26:30+00:00,2023-03-16 13:27:42+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
orinagista13,Video Creator,103,1,1,5,5,2024-01-19 06:17:33+00:00,2024-07-01 10:33:47+00:00,Daviena/Davina,Neutral Engagement,Observed Creator-Community Context
orinagista13,Video Creator,134,1,1,3,3,2024-01-25 07:53:12+00:00,2024-01-25 10:38:14+00:00,Daviena/Davina,Mixed Goals,Observed Creator-Community Context
orinagista13,Video Creator,168,1,1,5,5,,,Daviena/Davina,Promotional / Supportive,Observed Creator-Community Context
orinagista13,Video Creator,60,1,1,3,3,2024-06-22 18:19:19+00:00,2024-06-22 20:35:38+00:00,Daviena/Davina,Mixed Goals,Observed Creator-Community Context
orinagista13,Video Creator,74,1,1,3,3,2024-05-14 15:15:49+00:00,2024-05-14 15:17:03+00:00,Daviena/Davina,Mixed Goals,Observed Creator-Community Context
orinagista13,Video Creator,90,1,1,4,4,2024-05-10 08:10:47+00:00,2024-05-10 08:13:39+00:00,Daviena/Davina,Neutral Engagement,Observed Creator-Community Context
racunwithdivani,Video Creator,117,1,1,6,6,2024-02-14 06:54:18+00:00,2024-02-14 06:57:53+00:00,The Originote,Neutral Engagement,Observed Creator-Community Context
racunwithdivani,Video Creator,150,1,1,6,6,2024-03-04 16:51:03+00:00,2024-03-04 16:53:49+00:00,The Originote,Mixed Goals,Observed Creator-Community Context
racunwithdivani,Video Creator,34,1,1,2,2,2024-07-11 13:05:53+00:00,2024-07-11 15:49:14+00:00,The Originote,Mixed Goals,Observed Creator-Community Context
racunwithdivani,Video Creator,5,1,1,8,8,2023-12-30 06:27:17+00:00,2026-05-04 10:40:02+00:00,The Originote,Neutral Engagement,Observed Creator-Community Context
racunwithdivani,Video Creator,99,1,1,6,11,2024-02-19 03:14:25+00:00,2024-02-19 03:18:07+00:00,The Originote,Promotional / Supportive,Observed Creator-Community Context
rikut02,Video Creator,113,1,1,6,11,2024-12-19 09:17:20+00:00,2024-12-19 09:21:03+00:00,Maryame,Promotional / Supportive,Observed Creator-Community Context
rikut02,Video Creator,150,1,1,6,6,2024-10-28 12:29:04+00:00,2025-07-19 09:21:19+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
rikut02,Video Creator,45,1,1,4,4,2024-12-26 15:21:51+00:00,2024-12-26 15:22:25+00:00,Maryame,Neutral Engagement,Observed Creator-Community Context
rikut02,Video Creator,48,1,1,5,5,2025-08-08 05:34:25+00:00,2025-08-08 05:35:48+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
skinby_sindy,Video Creator,180,1,1,4,7,2025-12-23 10:22:56+00:00,2025-12-23 10:25:02+00:00,Azarine,Promotional / Supportive,Observed Creator-Community Context
skinby_sindy,Video Creator,182,1,1,6,6,2025-12-29 01:09:15+00:00,2025-12-29 01:11:38+00:00,Azarine,Mixed Goals,Observed Creator-Community Context
